"","npix","spix","size","npts","soft","func","scen","variable","value","var"
"1",10,3,"size1",10,"COLA","crk","A","ramgb",0.204772,"RAM (GB)"
"2",10,3,"size1",10,"COLA","lcc","A","ramgb",0.207792,"RAM (GB)"
"3",10,3,"size1",10,"COLA","mat","A","ramgb",0.204256,"RAM (GB)"
"4",10,3,"size1",10,"UNIC","crk","A","ramgb",0.08458,"RAM (GB)"
"5",10,3,"size1",10,"UNIC","lcc","A","ramgb",0.084364,"RAM (GB)"
"6",10,3,"size1",10,"UNIC","mat","A","ramgb",0.08408,"RAM (GB)"
"7",1e+05,316,"size5",20,"COLA","crk","AA","ramgb",0.496744,"RAM (GB)"
"8",1e+05,316,"size5",20,"COLA","lcc","AA","ramgb",0.483912,"RAM (GB)"
"9",1e+05,316,"size5",20,"COLA","mat","AA","ramgb",0.48046,"RAM (GB)"
"10",1e+05,316,"size5",20,"UNIC","crk","AA","ramgb",0.15842,"RAM (GB)"
"11",1e+05,316,"size5",20,"UNIC","lcc","AA","ramgb",0.131264,"RAM (GB)"
"12",1e+05,316,"size5",20,"UNIC","mat","AA","ramgb",0.125336,"RAM (GB)"
"13",1e+05,316,"size5",200,"UNIC","mat","AB","ramgb",0.128584,"RAM (GB)"
"14",1e+05,316,"size5",200,"COLA","lcc","AB","ramgb",0.631228,"RAM (GB)"
"15",1e+05,316,"size5",200,"COLA","crk","AB","ramgb",0.779748,"RAM (GB)"
"16",1e+05,316,"size5",200,"UNIC","crk","AB","ramgb",0.15912,"RAM (GB)"
"17",1e+05,316,"size5",200,"COLA","mat","AB","ramgb",0.480768,"RAM (GB)"
"18",1e+05,316,"size5",200,"UNIC","lcc","AB","ramgb",0.13438,"RAM (GB)"
"19",1e+05,316,"size5",50,"UNIC","mat","AC","ramgb",0.125932,"RAM (GB)"
"20",1e+05,316,"size5",50,"COLA","lcc","AC","ramgb",0.504104,"RAM (GB)"
"21",1e+05,316,"size5",50,"COLA","crk","AC","ramgb",0.541828,"RAM (GB)"
"22",1e+05,316,"size5",50,"UNIC","crk","AC","ramgb",0.156316,"RAM (GB)"
"23",1e+05,316,"size5",50,"COLA","mat","AC","ramgb",0.481148,"RAM (GB)"
"24",1e+05,316,"size5",50,"UNIC","lcc","AC","ramgb",0.132056,"RAM (GB)"
"25",1e+05,316,"size5",500,"UNIC","mat","AD","ramgb",0.141664,"RAM (GB)"
"26",1e+05,316,"size5",500,"UNIC","lcc","AD","ramgb",0.14568,"RAM (GB)"
"27",1e+05,316,"size5",500,"COLA","crk","AD","ramgb",1.262364,"RAM (GB)"
"28",1e+05,316,"size5",500,"COLA","lcc","AD","ramgb",0.889588,"RAM (GB)"
"29",1e+05,316,"size5",500,"COLA","mat","AD","ramgb",0.493564,"RAM (GB)"
"30",1e+05,316,"size5",500,"UNIC","crk","AD","ramgb",0.161452,"RAM (GB)"
"31",1e+06,1000,"size6",10,"UNIC","mat","AE","ramgb",0.492096,"RAM (GB)"
